After 1000games:
Score=2432, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1392, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3228, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=5244, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1228, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3248, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1420, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2524, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2704, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1820, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3324, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1564, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2780, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2736, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1364, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1436, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=664, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=9796, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2736, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=668, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3012, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1408, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=5584, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2928, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=5584, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2928, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1528, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3184, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1776, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3396, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=752, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1396, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1740, eFunc[terminal]=0.00251438, aFunc[terminal]=0.00251438, ratio=1
Score=2532, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2204, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2384, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2524, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3092, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1408, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3180, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1640, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2440, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3268, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2608, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=5584, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=732, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2524, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2848, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3488, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=5584, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1384, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3328, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=4792, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3188, eFunc[terminal]=0.00251438, aFunc[terminal]=0.00251438, ratio=1
Score=1728, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1816, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1816, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=6628, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=764, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1608, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1684, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1608, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3184, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1392, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1608, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3212, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2996, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2736, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2512, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1392, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=5568, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1364, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1776, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2044, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2144, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3184, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1608, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1364, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1388, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3560, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=668, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3152, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=6520, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1364, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1152, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2384, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1612, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3548, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3548, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=5212, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3488, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2384, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1444, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=5612, eFunc[terminal]=0.032, aFunc[terminal]=0.032, ratio=1
Score=664, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=5036, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2736, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3184, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3488, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=6404, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2044, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2404, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2824, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1680, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3004, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=764, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3184, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1612, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=816, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=6520, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3152, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3456, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2328, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=4960, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3092, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1364, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2684, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3468, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2140, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1604, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3248, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=4080, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2604, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=5788, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2736, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2816, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1420, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2404, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=5584, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1408, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1824, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=668, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3560, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1392, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3560, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=668, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2928, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=1608, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=5212, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3468, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=5212, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=3184, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=5212, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=2344, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
Score=5044, eFunc[terminal]=0, aFunc[terminal]=0, ratio=-nan
